TIME,(596401)AGS Auto Generator State [-],(596401)AGS Auto Generator Action [-],(596401)AGS Generator On Reason [-],(596401)AGS Generator Off Reason [-],(1301703)XW Inverter Status [-],SYSTEM Load Output Power [W],(1301703)XW Load AC Power [W],(1301703)XW Load AC Power - Apparent [VA],(1301703)XW Load AC Current [A],(1301703)XW Load AC L1 Current [A],(1301703)XW Load AC L2 Current [A],SYSTEM XW Load Power [W]
2014/08/25 15:31:05,2,10,0,3,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:31:10,2,10,0,3,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:31:15,2,10,0,3,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:31:20,2,10,0,3,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:31:25,2,10,0,3,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:31:30,2,10,0,3,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:31:35,2,10,0,3,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:31:40,2,10,0,3,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:31:45,2,10,0,3,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:31:50,2,10,0,3,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:31:55,2,10,0,3,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:32:00,2,10,0,3,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:32:05,2,10,0,3,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:32:10,2,10,0,3,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:32:15,2,10,0,3,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:32:20,2,10,0,3,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:32:25,2,10,0,3,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:32:30,1,9,3,0,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:32:35,1,9,3,0,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:32:40,1,9,3,0,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:32:45,1,9,3,0,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:32:50,1,9,3,0,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:32:55,1,9,3,0,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:33:00,1,9,3,0,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:33:05,2,5,3,0,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:33:10,2,5,3,0,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:33:15,2,5,3,0,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:33:20,2,5,3,0,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:33:25,2,5,3,0,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:33:30,2,5,3,0,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:33:35,2,6,0,21,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:33:40,2,6,0,21,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:33:45,2,6,0,21,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:33:50,2,6,0,21,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:33:55,2,6,0,21,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:34:00,2,6,0,21,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:34:05,2,6,0,21,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:34:10,2,6,0,21,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:34:15,2,6,0,21,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:34:20,2,6,0,21,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:34:25,2,6,0,21,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:34:30,2,6,0,21,1025,0,0,0,0.0,4.9,8.7,0
2014/08/25 15:34:35,2,6,0,21,1025,0,0,0,0.0,4.9,8.7,0
